ac_no,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date
116,Bidhannagar,BIDHANNAGAR,AITC,Sujit Bose,75912,46.85,BJP,Sabyasachi Dutta,67915,41.91,7997,4.940000000000005,AITC Bloc,BJP,17 April 2021
117,Rajarhat Gopalpur,RAJARHAT GOPALPUR,AITC,Aditi Munshi,87650,49.04,BJP,Samik Bhattacharya,62354,34.89,25296,14.149999999999999,AITC Bloc,BJP,17 April 2021
118,Madhyamgram,MADHYAMGRAM,AITC,Rathin Ghosh,112741,48.93,BJP,Rajasree Rajbanshi,64615,28.04,48126,20.89,AITC Bloc,BJP,17 April 2021
119,Barasat,BARASAT,AITC,Chiranjeet Chakraborty,104431,46.27,BJP,Sankar Chatterjee,80648,35.73,23783,10.540000000000006,AITC Bloc,BJP,17 April 2021
120,Deganga,DEGANGA,AITC,Rahima Mondal,100105,46.7,ISF,Karim Ali,67568,31.52,32537,15.180000000000003,AITC Bloc,Left-Cong-ISF Bloc,17 April 2021
121,Haroa,HAROA,AITC,Islam Sk Nurul (Haji),130398,57.34,ISF,Kutubuddin Fathe,49420,21.73,80978,35.61,AITC Bloc,Left-Cong-ISF Bloc,17 April 2021
122,Minakhan (SC),MINAKHAN (SC),AITC,Usha Rani Mondal,109818,51.72,BJP,Jayanta Mondal,53988,25.42,55830,26.299999999999997,AITC Bloc,BJP,17 April 2021
123,Sandeshkhali (ST),SANDESHKHALI (ST),AITC,Sukumar Mahata,112450,54.64,BJP,Dr. Bhaskar Sardar,72765,35.36,39685,19.28,AITC Bloc,BJP,17 April 2021
124,Basirhat Dakshin,BASIRHAT DAKSHIN,AITC,Dr. Saptarshi Banerjee,115873,49.15,BJP,Tarak Nath Ghosh,91405,38.77,24468,10.379999999999995,AITC Bloc,BJP,17 April 2021
125,Basirhat Uttar,BASIRHAT UTTAR,AITC,Rafikul Islam Mondal,137216,57.55,ISF,Md. Baijid Amin,47865,20.08,89351,37.47,AITC Bloc,Left-Cong-ISF Bloc,17 April 2021
126,Hingalganj (SC),HINGALGANJ (SC),AITC,Debes Mandal,104706,53.78,BJP,Nemai Das,79790,40.98,24916,12.800000000000004,AITC Bloc,BJP,17 April 2021
127,Gosaba (SC),GOSABA (SC),AITC,Jayanta Naskar,105723,53.99,BJP,Barun Pramanik (Chitta),82014,41.88,23709,12.11,AITC Bloc,BJP,1 April 2021
128,Basanti (SC),BASANTI (SC),AITC,Shyamal Mondal,111453,52.1,BJP,Ramesh Majhi,60811,28.43,50642,23.67,AITC Bloc,BJP,6 April 2021
