phase,district,ac_no,ac_name_pdf,male_electors,female_electors,third_gender_electors,total_electors,female_share,male_share,ac_name,ac_name_results,winner_party,winner_candidate,winner_votes,winner_pct,runner_party,runner_candidate,runner_votes,runner_pct,margin_votes,margin_pct_points,winner_bloc,runner_bloc,voting_date,other_pct,base_aitc_bloc_pct,base_bjp_pct,base_left_cong_isf_bloc_pct,base_others_pct,is_close_seat,seat_size_band
1,Malda,54,BAISHNABNAGAR,121683,112174,8,233865,0.4796527911401877,0.5203130010903726,Baisnabnagar,BAISNABNAGAR,AITC,Chandana Sarkar,83061,39.81,BJP,Swadhin Kumar Sarkar,80590,38.62,2471,1.1900000000000048,AITC Bloc,BJP,29 April 2021,21.57,39.81,38.62,0.0,21.57,True,Medium
1,Murshidabad,55,FARAKKA,93170,88485,4,181659,0.487093950753885,0.5128840299682372,Farakka,FARAKKA,AITC,Manirul Islam,102319,54.89,BJP,Hemanta Ghosh,42374,22.73,59945,32.16,AITC Bloc,BJP,26 April 2021,22.38,54.89,22.73,0.0,22.38,False,Small
1,Murshidabad,56,SAMSERGANJ,78004,83430,1,161435,0.5168024282218849,0.48319137733453094,Samserganj[a][1][2][3],SAMSERGANJ[A][1][2][3],AITC,Amirul Islam,96417,51.13,INC,Zaidur Rahaman,70038,37.14,26379,13.990000000000002,AITC Bloc,Left-Cong-ISF Bloc,30 September 2021,11.729999999999997,51.13,0.0,37.14,11.729999999999997,False,Small
1,Murshidabad,57,SUTI,121353,107854,1,229208,0.4705507661163659,0.5294448710341698,Suti,SUTI,AITC,Emani Biswas,127351,58.87,BJP,Koushik Das,56650,26.19,70701,32.67999999999999,AITC Bloc,BJP,26 April 2021,14.940000000000001,58.87,26.19,0.0,14.940000000000001,False,Medium
1,Murshidabad,58,JANGIPUR,113009,107846,4,220859,0.4883024916349345,0.5116793972625069,Jangipur[a][4][5][3],JANGIPUR[A][4][5][3],AITC,Jakir Hossain,136444,68.82,BJP,Sujit Das,43964,22.17,92480,46.64999999999999,AITC Bloc,BJP,30 September 2021,9.010000000000005,68.82,22.17,0.0,9.010000000000005,False,Medium
1,Murshidabad,59,RAGHUNATHGANJ,103911,96541,0,200452,0.48161654660467346,0.5183834533953265,Raghunathganj,RAGHUNATHGANJ,AITC,Akhruzzaman,126834,66.59,BJP,Golam Modaswer,28521,14.97,98313,51.620000000000005,AITC Bloc,BJP,26 April 2021,18.439999999999998,66.59,14.97,0.0,18.439999999999998,False,Small
1,Murshidabad,60,SAGARDIGHI,113465,103508,4,216977,0.47704595417947526,0.522935610686847,Sagardighi,SAGARDIGHI,AITC,Subrata Saha,95189,50.95,BJP,Mafuja Khatun,44983,24.08,50206,26.870000000000005,AITC Bloc,BJP,26 April 2021,24.97,50.95,24.08,0.0,24.97,False,Small
1,Murshidabad,61,LALGOLA,94311,91868,3,186182,0.493431158758634,0.5065527279758516,Lalgola,LALGOLA,AITC,Mohammad Ali,107860,56.64,INC,Abu Hena,47153,24.76,60707,31.88,AITC Bloc,Left-Cong-ISF Bloc,26 April 2021,18.599999999999998,56.64,0.0,24.76,18.599999999999998,False,Small
1,Murshidabad,62,BHAGABAN GOLA,114659,109958,1,224618,0.48953334105013846,0.5104622069469054,Bhagabangola,BHAGABANGOLA,AITC,Idris Ali,153795,68.05,CPI(M),Md Kamal Hossain,47787,21.15,106008,46.9,AITC Bloc,Left-Cong-ISF Bloc,26 April 2021,10.800000000000004,68.05,0.0,21.15,10.800000000000004,False,Medium
1,Murshidabad,63,RANINAGAR,126493,117894,4,244391,0.48239910635007016,0.5175845264350979,Raninagar,RANINAGAR,AITC,Abdul Soumik Hossain,134957,60.79,INC,Firoza Begam,55255,24.89,79702,35.9,AITC Bloc,Left-Cong-ISF Bloc,26 April 2021,14.32,60.79,0.0,24.89,14.32,False,Large
1,Murshidabad,64,MURSHIDABAD,126372,121896,1,248269,0.49098357024034417,0.5090124018705517,Murshidabad,MURSHIDABAD,BJP,Gouri Shankar Ghosh,95967,41.86,AITC,Shaoni Singha Roy,93476,40.78,2491,1.0799999999999983,BJP,AITC Bloc,26 April 2021,17.36,40.78,41.86,0.0,17.36,True,Large
1,Murshidabad,65,NABAGRAM (SC),124325,118697,3,243025,0.48841477214278367,0.511572883448205,Nabagram (SC),NABAGRAM (SC),AITC,Kanai Chandra Mondal,100455,48.18,BJP,Mohan Halder,64922,31.14,35533,17.04,AITC Bloc,BJP,26 April 2021,20.68,48.18,31.14,0.0,20.68,False,Large
1,Murshidabad,66,KHARGRAM (SC),120073,110389,2,230464,0.47898587198000553,0.5210054498750347,Khargram (SC),KHARGRAM (SC),AITC,Ashis Marjit,93255,50.15,BJP,Aditya Moulik,60682,32.64,32573,17.509999999999998,AITC Bloc,BJP,29 April 2021,17.21,50.15,32.64,0.0,17.21,False,Medium
